DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outlier
GDSC2,343,15992892,905951,BT-549,SIDM00122,BRCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.000977,1.0,4.761756,0.985901,0.060785,1.46242,116.95111184540465,Low,False
GDSC2,343,15993174,905952,CCRF-CEM,SIDM00121,ALL,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.095292,0.981025,0.058949,-0.465601,2.990055652184155,Low,False
GDSC2,343,15993383,905954,SK-MEL-28,SIDM00081,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.895829,0.970818,0.148624,0.481216,18.09849887953181,Low,False
GDSC2,343,15993631,905955,SK-MEL-2,SIDM00082,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.124624,0.990133,0.056438,0.601529,22.751338981621398,Low,False
GDSC2,343,15993911,905956,SK-MEL-5,SIDM00080,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.581171,0.968291,0.115023,0.315753,13.212601060204639,Low,False
GDSC2,343,15994166,905957,Hs-578-T,SIDM00135,BRCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.000977,1.0,3.827015,0.984633,0.048573,0.970884,45.92524656733977,Low,False
GDSC2,343,15994448,905958,MOLT-4,SIDM00145,ALL,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,-0.03189,0.917543,0.120575,-1.058333,0.968613123662906,Medium,False
GDSC2,343,15994730,905959,SK-OV-3,SIDM00079,OV,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.470772,0.932215,0.087987,0.257699,11.831577304517175,Low,False
GDSC2,343,15995015,905960,MDA-MB-231,SIDM00146,BRCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.000977,1.0,3.454595,0.98784,0.06359,0.775045,31.64546967138345,Low,False
GDSC2,343,15995297,905961,COLO-205,SIDM00826,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.954425,0.952708,0.062984,-0.013823,7.059858437792909,Low,False
GDSC2,343,15995591,905962,SW620,SIDM00841,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,4.120572,0.980792,0.059588,1.125252,61.59446422352374,Low,False
GDSC2,343,15995803,905963,CAKI-1,SIDM00941,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.004111,0.950629,0.070751,0.538157,20.168278524310065,Low,False
GDSC2,343,15996054,905964,RPMI-8226,SIDM00087,MM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.853445,0.957777,0.10006,-0.592778,2.3477208347811596,Medium,False
GDSC2,343,15996334,905965,SR,SIDM00096,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.721962,0.964956,0.102556,-0.661918,2.058467965403293,Medium,False
GDSC2,343,15996614,905967,NCI-H322M,SIDM00117,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.258197,0.947556,0.05345,0.145916,9.56582642403576,Low,False
GDSC2,343,15996895,905968,IGROV-1,SIDM00151,OV,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.757446,0.960349,0.064183,0.408447,15.759541636053063,Low,False
GDSC2,343,15997176,905969,OVCAR-5,SIDM00091,OV,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.994702,0.960679,0.027478,1.059062,54.309653935243375,Low,False
GDSC2,343,15997462,905970,EKVX,SIDM00119,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.084384,0.944724,0.053385,0.580369,21.85400063051952,Low,False
GDSC2,343,15997718,905971,HCC2998,SIDM00118,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.062581,0.976259,0.075083,0.04305,7.866246414099911,Low,False
GDSC2,343,15997999,905972,HOP-62,SIDM00133,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.094742,0.963593,0.102427,0.585815,22.081540765047194,Low,False
GDSC2,343,15998280,905973,HOP-92,SIDM00134,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.04403,0.944188,0.071147,0.033295,7.721664889135327,Low,False
GDSC2,343,15998562,905974,LOXIMVI,SIDM00149,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.616424,0.978434,0.039007,0.334291,13.686692357622393,Low,False
GDSC2,343,15998815,905975,M14,SIDM00003,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.840777,0.955313,0.073568,-0.073586,6.301432572449227,Low,False
GDSC2,343,15999086,905976,UACC-62,SIDM00107,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.218863,0.981133,0.068963,0.651085,24.999679380350933,Low,False
GDSC2,343,15999366,905977,UACC-257,SIDM00108,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.09456,0.966958,0.062219,0.58572,22.077522290320243,Low,False
GDSC2,343,15999653,905978,RXF393,SIDM00086,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.216143,0.925106,0.070888,-0.402052,3.374148512834815,Low,False
GDSC2,343,15999906,905979,SN12C,SIDM00094,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.195947,0.979607,0.088179,0.639034,24.433301075869434,Low,False
GDSC2,343,16000188,905980,TK10,SIDM00113,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,4.617249,0.946227,0.060842,1.386431,101.21520574869062,Low,False
GDSC2,343,16000397,905981,U031,SIDM00112,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.442853,0.973404,0.075162,0.243018,11.505820065503634,Low,False
GDSC2,343,16000577,905982,SNB75,SIDM00095,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.601399,0.977009,0.065966,0.852243,36.649471205422806,Low,False
GDSC2,343,16000828,905983,U251,SIDM00111,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.84061,0.972926,0.109694,0.452179,17.126209339159303,Low,False
GDSC2,343,16001110,905984,SF539,SIDM00083,LGG,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.924944,0.973764,0.090915,-0.029326,6.85476478832256,Low,False
GDSC2,343,16001319,905985,SF295,SIDM00084,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.272789,0.961806,0.040254,0.153589,9.706434343676918,Low,False
GDSC2,343,16001570,905986,SF268,SIDM00085,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.932446,0.97198,0.074503,0.500472,18.77349434949315,Low,False
GDSC2,343,16001852,905989,KM12,SIDM00150,COREAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.446233,0.939128,0.165164,-0.281058,4.247085572258754,Low,False
GDSC2,343,16002133,905990,OVCAR-4,SIDM00092,OV,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.185889,0.957818,0.059215,0.107892,8.898555854209764,Low,False
GDSC2,343,16002414,905991,OVCAR-8,SIDM00090,OV,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.712415,0.988566,0.046892,0.384768,15.065615077604114,Low,False
